Zookeeper	Platforms & Infrastructure	distributed computing	0.1	TRIAL
Ember.js	Techniques; Frameworks & Tools	JS framework	-0.2	ASSESS
gRPC	Techniques; Frameworks & Tools	RPC framework	-0.2	ASSESS
Http4s	Techniques; Frameworks & Tools	Scala HTTP framework	-0.2	ASSESS
AWS Kinesis	Data Mgt	event processing	-0.3	ASSESS
Hadoop/YARN	Data Mgt	cluster resource manager	-0.4	ASSESS
R	Languages	impl. language	-0.4	ASSESS
Consul	Platforms & Infrastructure	distributed computing	-0.5	ASSESS
Akka-Http	Techniques; Frameworks & Tools	Scala HTTP framework	-0.5	ASSESS
Haskell	Languages	impl. language	-0.5	ASSESS
Elm	Languages		-0.7	ASSESS
Flux	Techniques; Frameworks & Tools	JS methodology for usage with React	-0.7	ASSESS
AWS Lambda	Platforms & Infrastructure	computing service	-0.8	ASSESS
Vert.x	Techniques; Frameworks & Tools	async communication framework	-0.8	ASSESS
Google BigTable	Data Mgt	NoSql DB	-0.8	ASSESS
Play (Java)	Techniques; Frameworks & Tools		-0.9	ASSESS
Kotlin	Languages	language on the JVM	-0.9	ASSESS
Rust	Languages	impl. language	-0.9	ASSESS
Hadoop/MR	Data Mgt	data processing frw	-1	ASSESS
Aurelia	Techniques; Frameworks & Tools	JS framework	-1	ASSESS
RabbitMQ	Data Mgt	message queues	-1.1	HOLD
InfluxDB	Data Mgt	TS DB	-1.1	HOLD
Neo4j	Data Mgt	Graph DB	-1.1	HOLD
Grizzly	Platforms & Infrastructure	webserver	-1.1	HOLD
Riak	Data Mgt	NoSql DB	-1.2	HOLD
Hadoop/HBase	Data Mgt	NoSql DB	-1.2	HOLD
CouchBase	Data Mgt	NoSql DB	-1.3	HOLD
HornetQueue	Data Mgt	message queues	-1.4	HOLD
BackboneJS	Techniques; Frameworks & Tools	JS framework	-1.4	HOLD
Erlang	Languages	impl. language	-1.4	HOLD
Aerospike	Data Mgt	NoSql DB/caching	-1.5	HOLD
Apache Artemis	Data Mgt	message queues	-1.5	HOLD
C/C++	Languages	impl. language	-1.5	HOLD
Coffeescript	Languages	impl. language	-1.5	HOLD
Mesos	Platforms & Infrastructure	resource manager	-1.5	HOLD
Spray	Techniques; Frameworks & Tools		-1.5	HOLD
MySQL	Data Mgt	RDBMS	-1.5	HOLD
Esper CEP	Data Mgt	Complex Event Processor	-1.6	HOLD
Graphite	Data Mgt	TS DB	-1.6	HOLD
Groovy	Languages	impl. language	-1.6	HOLD
saltstack	Platforms & Infrastructure	infrastructure management	-1.7	HOLD
Jython	Languages	impl. language	-1.7	HOLD
Activiti	Techniques; Frameworks & Tools	workflow engine	-1.8	HOLD
MongoDB	Data Mgt	NoSql DB	-1.8	HOLD
PHP	Languages		-1.8	HOLD
Drools	Techniques; Frameworks & Tools	business rule engine	-1.8	HOLD
Oracle DB	Data Mgt	RDBMS	-1.8	HOLD
JBoss	Platforms & Infrastructure	Application Server	-1.8	HOLD
Perl	Languages	impl. language	-1.9	HOLD
ActiveMQ	Data Mgt	message queues	-1.9	HOLD
JRuby	Languages	impl. language	-1.9	HOLD
Ruby	Languages	impl. language	-1.9	HOLD
MemCached	Data Mgt	caching	-2	HOLD
.NET / languages	Languages	.NET software appl platform including .NET based programming languages like C#, F#	-2	HOLD
Puppet	Platforms & Infrastructure	config mgt	-2	HOLD
AngularJS 1.x	Techniques; Frameworks & Tools	JS framework	-2	HOLD
